Name,2018,2019,2020,2021,2022,2023,2024,2025
WHA UTILITIES AND - TOTAL DEBT % COMMON EQUITY,63.97,86.71,107.83,100.06,110.33,111.35,121.79,NA
WHA UTILITIES AND - TOTAL DEBT % TOTAL CAPITAL/STD,39.01,46.44,51.88,50.01,52.46,52.68,54.91,NA
WHA UTILITIES AND - BOOK VALUE-OUT SHARES-FISCAL,3.673,3.545,3.178,3.238,3.3,3.547,3.546,NA
#ERROR,"$$ER: 2376,NO DATA AVAILABLE",,,,,,,
AEM HOLDINGS LTD - RETURN ON ASSETS,26.5,29.04,34.71,17.86,17.03,0.76,2.21,NA
AEM HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,0.29,1.64,5.34,20.19,29.54,27.03,19.43,NA
AEM HOLDINGS LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0.29,1.62,5.07,16.8,22.51,21.03,16.09,NA
AEM HOLDINGS LTD - BOOK VALUE-OUT SHARES-FISCAL,0.329,0.493,0.76,1.287,1.555,1.498,1.552,NA
AEM HOLDINGS LTD - PRICE TO BOOK VAL,4.73,2.13,2.59,3.16,3.01,2.19,1.6,0.68
CAPITALAND ASCENDAS - RETURN ON ASSETS,5.84,5.4,4.16,6.72,5.2,2.34,5.66,NA
CAPITALAND ASCENDAS - TOTAL DEBT % COMMON EQUITY,61.73,70.81,62.88,70.03,71.11,75.33,74.47,NA
CAPITALAND ASCENDAS - TOTAL DEBT % TOTAL CAPITAL/STD,38.17,41.45,38.6,41.19,41.56,42.96,42.68,NA
CAPITALAND ASCENDAS - BOOK VALUE-OUT SHARES-FISCAL,2.067,2.156,2.211,2.377,2.371,2.256,2.275,NA
CAPITALAND ASCENDAS - PRICE TO BOOK VAL,1.22,1.32,1.26,1.3,1.22,1.27,1.19,1.1
CAPITALAND - RETURN ON ASSETS,12.13,9.33,6.25,7.97,5.67,5.76,12.88,NA
CAPITALAND - TOTAL DEBT % COMMON EQUITY,54.85,59.77,66.1,80.05,96.32,89.77,95.05,NA
CAPITALAND - TOTAL DEBT % TOTAL CAPITAL/STD,33.8,35.82,38.17,42.85,47.45,45.81,47.26,NA
CAPITALAND - BOOK VALUE-OUT SHARES-FISCAL,0.898,1.081,1.068,1.167,1.103,1.157,1.382,NA
CAPITALAND - PRICE TO BOOK VAL,0.93,1.07,1.1,1.3,1.11,0.93,0.75,0.66
THOMSON MEDICAL - RETURN ON ASSETS,0.9,0.27,-5.65,2.22,5.49,4.19,2.94,NA
THOMSON MEDICAL - TOTAL DEBT % COMMON EQUITY,80.99,102.59,138.66,128.83,120.91,152.73,223.87,NA
THOMSON MEDICAL - TOTAL DEBT % TOTAL CAPITAL/STD,42.45,47.54,54.52,52.72,51.38,57,65.98,NA
THOMSON MEDICAL - BOOK VALUE-OUT SHARES-FISCAL,0.027,0.022,0.018,0.019,0.02,0.019,0.019,NA
THOMSON MEDICAL - PRICE TO BOOK VAL,3.86,3.47,2.99,6.04,4.08,3.6,2.8,2.22
BUKIT SEMBAWANG - RETURN ON ASSETS,4.1,6.79,4.73,10.34,4.85,2.3,4.51,NA
BUKIT SEMBAWANG - TOTAL DEBT % COMMON EQUITY,0,29.33,25.6,22.81,8.91,1.76,0.04,NA
BUKIT SEMBAWANG - TOTAL DEBT % TOTAL CAPITAL/STD,0,22.68,20.38,18.57,8.18,1.73,0.04,NA
BUKIT SEMBAWANG - BOOK VALUE-OUT SHARES-FISCAL,4.815,5.039,5.112,5.734,5.724,5.697,5.87,NA
BUKIT SEMBAWANG - PRICE TO BOOK VAL,1.21,1.12,0.67,0.84,0.88,0.7,0.57,0.57
BUMITAMA AGRI LTD - RETURN ON ASSETS,7.96,5.11,7.12,10.3,15.65,13.09,12.1,NA
BUMITAMA AGRI LTD - TOTAL DEBT % COMMON EQUITY,67.22,83.18,66.63,40.22,26.86,19.59,22.49,NA
BUMITAMA AGRI LTD - TOTAL DEBT % TOTAL CAPITAL/STD,36.73,41.62,36.32,25.67,18.84,14.45,16.24,NA
BUMITAMA AGRI LTD - BOOK VALUE-OUT SHARES-FISCAL,4467.673,4651.545,5199.496,5939.788,7204.519,7672.85,8198.123,NA
BUMITAMA AGRI LTD - PRICE TO BOOK VAL,1.69,1.61,0.83,0.85,1.23,0.98,1.17,1.2
ESR-REIT - RETURN ON ASSETS,-8.64,2.15,2.06,4.78,-4.28,1.05,-0.33,NA
ESR-REIT - TOTAL DEBT % COMMON EQUITY,95.92,104.07,107.77,97.83,119.27,99.47,147.57,NA
ESR-REIT - TOTAL DEBT % TOTAL CAPITAL/STD,48.96,51,51.87,49.45,53.38,49.87,59,NA
ESR-REIT - BOOK VALUE-OUT SHARES-FISCAL,0.464,0.43,0.403,0.396,0.363,0.32,0.275,NA
ESR-REIT - PRICE TO BOOK VAL,1.16,1.21,0.69,1.02,1.14,1.03,1.11,0.75
CAPITALAND IN - RETURN ON ASSETS,7.01,7,2.81,5.59,4.03,4.88,5.13,NA
CAPITALAND IN - TOTAL DEBT % COMMON EQUITY,48.83,45.99,67,59.89,68.54,67.17,58.02,NA
CAPITALAND IN - TOTAL DEBT % TOTAL CAPITAL/STD,32.81,31.5,40.06,37.41,40.32,39.84,36.42,NA
CAPITALAND IN - BOOK VALUE-OUT SHARES-FISCAL,2.01,2.1,2.01,2.063,2.116,2.127,2.127,NA
CAPITALAND IN - PRICE TO BOOK VAL,1.04,1.13,0.83,1.05,1.07,0.95,0.91,0.96
CDL HOSPITALITY - RETURN ON ASSETS,4.45,4.54,-5.52,3.18,8.21,5.2,1.61,NA
CDL HOSPITALITY - TOTAL DEBT % COMMON EQUITY,54.74,59.52,69.35,72.84,67.85,68.67,80.72,NA
CDL HOSPITALITY - TOTAL DEBT % TOTAL CAPITAL/STD,35.28,37.21,40.83,42.03,40.33,40.61,44.56,NA
CDL HOSPITALITY - BOOK VALUE-OUT SHARES-FISCAL,1.533,1.529,1.326,1.33,1.444,1.508,1.458,NA
CDL HOSPITALITY - PRICE TO BOOK VAL,1.12,1.09,0.67,0.96,0.88,0.81,0.68,0.5
CHINA AVIATION OIL - RETURN ON ASSETS,5.42,5.78,3.11,2.38,2.27,3.63,4.15,NA
CHINA AVIATION OIL - TOTAL DEBT % COMMON EQUITY,0,1.78,0.54,1.59,1.39,0.66,0.34,NA
CHINA AVIATION OIL - TOTAL DEBT % TOTAL CAPITAL/STD,0,1.75,0.54,1.57,1.37,0.66,0.33,NA
CHINA AVIATION OIL - BOOK VALUE-OUT SHARES-FISCAL,1.219,1.306,1.347,1.414,1.407,1.455,1.566,NA
CHINA AVIATION OIL - PRICE TO BOOK VAL,1.3,1.06,0.71,0.83,0.63,0.67,0.6,0.51
KEPPEL INFRASTRUCTUR - RETURN ON ASSETS,3.26,3.63,1.49,-2.57,1.47,4.15,1.74,NA
KEPPEL INFRASTRUCTUR - TOTAL DEBT % COMMON EQUITY,193.35,208.84,246,240.24,397.66,413.06,458.81,NA
KEPPEL INFRASTRUCTUR - TOTAL DEBT % TOTAL CAPITAL/STD,63.33,66.15,70.15,70.04,74.54,75.54,77.56,NA
KEPPEL INFRASTRUCTUR - BOOK VALUE-OUT SHARES-FISCAL,0.268,0.264,0.228,0.222,0.192,0.158,0.15,NA
KEPPEL INFRASTRUCTUR - PRICE TO BOOK VAL,2,1.75,2.01,2.45,2.95,3.27,3.31,2.64
CITY DEVELOPMENTS - RETURN ON ASSETS,3.26,3.18,-7.34,0.62,6.19,2.68,1.86,NA
CITY DEVELOPMENTS - TOTAL DEBT % COMMON EQUITY,67.56,99.55,147.35,144.17,119.97,139.88,158.88,NA
CITY DEVELOPMENTS - TOTAL DEBT % TOTAL CAPITAL/STD,34.83,47.38,56.57,55.53,52.71,56.55,60.05,NA
CITY DEVELOPMENTS - BOOK VALUE-OUT SHARES-FISCAL,10.707,11.236,9.011,8.913,9.798,9.787,9.858,NA
CITY DEVELOPMENTS - PRICE TO BOOK VAL,1.18,0.83,0.86,0.91,0.81,0.75,0.59,0.45
COMFORTDELGRO CORP - RETURN ON ASSETS,6.3,5.38,1.38,2.82,3.84,4.26,4.69,NA
COMFORTDELGRO CORP - TOTAL DEBT % COMMON EQUITY,21.81,32.29,28.43,22.83,19.58,20.33,52.12,NA
COMFORTDELGRO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,14.73,19.89,17.84,16.44,14.35,14.89,30.9,NA
COMFORTDELGRO CORP - BOOK VALUE-OUT SHARES-FISCAL,1.207,1.198,1.203,1.249,1.186,1.199,1.2,NA
COMFORTDELGRO CORP - PRICE TO BOOK VAL,1.74,2.18,1.25,1.4,1.25,1,1.23,1.16
COSCO SHI - RETURN ON ASSETS,2.83,1.5,1.4,3.51,-7.84,1.75,1.16,NA
COSCO SHI - TOTAL DEBT % COMMON EQUITY,33.67,55.89,64.1,62.39,67.26,53.75,51.17,NA
COSCO SHI - TOTAL DEBT % TOTAL CAPITAL/STD,25.14,35.77,38.6,37.97,40.03,34.78,33.63,NA
COSCO SHI - BOOK VALUE-OUT SHARES-FISCAL,0.237,0.24,0.239,0.256,0.218,0.218,0.222,NA
COSCO SHI - PRICE TO BOOK VAL,1.99,1.44,0.8,1.33,1.17,0.84,0.65,0.53
CAPITALAND CHINA - RETURN ON ASSETS,5.16,5.61,0.43,2.64,3.01,1.53,1.41,NA
CAPITALAND CHINA - TOTAL DEBT % COMMON EQUITY,66.83,75.32,65.48,81.13,88.92,100.53,101.25,NA
CAPITALAND CHINA - TOTAL DEBT % TOTAL CAPITAL/STD,39.78,42.96,39.57,42.38,44.25,46.95,46.88,NA
CAPITALAND CHINA - BOOK VALUE-OUT SHARES-FISCAL,1.57,1.543,1.49,1.56,1.378,1.208,1.12,NA
CAPITALAND CHINA - PRICE TO BOOK VAL,0.98,0.99,0.88,0.89,0.84,0.93,0.67,0.54
CSE GLOBAL LTD - RETURN ON ASSETS,7.58,7.81,7.63,4.39,1.85,5.66,5.43,NA
CSE GLOBAL LTD - TOTAL DEBT % COMMON EQUITY,21.11,67.01,60.5,61.94,60.33,66.25,60.41,NA
CSE GLOBAL LTD - TOTAL DEBT % TOTAL CAPITAL/STD,17.34,40.14,37.71,38.25,37.63,39.86,37.66,NA
CSE GLOBAL LTD - BOOK VALUE-OUT SHARES-FISCAL,0.329,0.345,0.372,0.372,0.345,0.352,0.362,NA
CSE GLOBAL LTD - PRICE TO BOOK VAL,1.22,1.54,1.04,1.51,1.35,1.02,1.16,1.1
JARDINE CYCLE - RETURN ON ASSETS,2.04,3.8,2.58,2.74,2.99,4.68,3.64,NA
JARDINE CYCLE - TOTAL DEBT % COMMON EQUITY,120.06,121.52,104.24,90.62,85.49,94.11,87.98,NA
JARDINE CYCLE - TOTAL DEBT % TOTAL CAPITAL/STD,35.36,35.75,32.2,28.94,27.06,29.81,28.37,NA
JARDINE CYCLE - BOOK VALUE-OUT SHARES-FISCAL,21.2,23.345,23.31,25.149,24.207,26.85,28.656,NA
JARDINE CYCLE - PRICE TO BOOK VAL,1.68,1.48,0.88,0.93,1.05,1.21,0.93,0.85
CAPITALAND LIMITED - RETURN ON ASSETS,3.5,3.74,-0.93,2,2.12,1.46,0.92,NA
CAPITALAND LIMITED - TOTAL DEBT % COMMON EQUITY,124.7,134.47,162.09,162.37,151.51,163.96,118.79,NA
CAPITALAND LIMITED - TOTAL DEBT % TOTAL CAPITAL/STD,41.51,43.81,49.22,47.7,46.23,47.65,43.35,NA
CAPITALAND LIMITED - BOOK VALUE-OUT SHARES-FISCAL,4.553,4.637,4.296,2.9,2.776,2.576,2.597,NA
CAPITALAND LIMITED - PRICE TO BOOK VAL,0.81,0.79,0.69,1,1.1,1.18,1.17,1.17
DBS GROUP HOLDINGS - RETURN ON ASSETS,1.26,1.41,0.91,1.09,1.32,1.76,1.91,NA
DBS GROUP HOLDINGS - TOTAL DEBT % COMMON EQUITY,161.73,180.07,157.29,165.65,174.45,167.52,206.47,NA
DBS GROUP HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,61.37,63.91,61.13,62.28,63.48,62.55,67.36,NA
DBS GROUP HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,16.473,17.434,18.262,19.527,19.26,21.046,23.395,NA
DBS GROUP HOLDINGS - PRICE TO BOOK VAL,1.55,1.4,0.95,1.33,1.61,1.4,1.4,1.63
WILMAR INTERNATIONAL - RETURN ON ASSETS,4.05,4.33,4.19,4.27,5.38,4.26,3.28,NA
WILMAR INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,145.46,142.69,124,147.46,153.4,153.06,144.04,NA
WILMAR INTERNATIONAL - TOTAL DEBT % TOTAL CAPITAL/STD,58.2,57.23,52.27,56.52,57.57,57.76,56.09,NA
WILMAR INTERNATIONAL - BOOK VALUE-OUT SHARES-FISCAL,3.457,3.556,3.949,4.27,4.29,4.265,4.346,NA
WILMAR INTERNATIONAL - PRICE TO BOOK VAL,0.92,0.99,0.87,1.28,1.08,0.98,0.81,0.72
GUOCOLAND LTD - RETURN ON ASSETS,4.67,3.47,1.41,2.18,4.02,2.68,1.86,NA
GUOCOLAND LTD - TOTAL DEBT % COMMON EQUITY,139.22,127.97,147.26,138.07,141.39,129.42,131.05,NA
GUOCOLAND LTD - TOTAL DEBT % TOTAL CAPITAL/STD,55.71,53.61,56.57,54.9,55.26,51.71,52.27,NA
GUOCOLAND LTD - BOOK VALUE-OUT SHARES-FISCAL,3.449,3.447,3.47,3.605,3.86,3.848,3.9,NA
GUOCOLAND LTD - PRICE TO BOOK VAL,0.61,0.57,0.37,0.48,0.42,0.42,0.39,0.35
FAR EAST - RETURN ON ASSETS,4.56,3.33,-2.62,5.75,8.51,6,2.95,NA
FAR EAST - TOTAL DEBT % COMMON EQUITY,62.55,59.15,63.61,57.49,40.99,39.47,38.69,NA
FAR EAST - TOTAL DEBT % TOTAL CAPITAL/STD,38.48,37.16,38.88,36.5,29.08,28.3,27.9,NA
FAR EAST - BOOK VALUE-OUT SHARES-FISCAL,0.88,0.865,0.794,0.835,0.905,0.932,0.919,NA
FAR EAST - PRICE TO BOOK VAL,0.78,0.8,0.58,0.76,0.7,0.65,0.69,0.56
FRASER & NEAVE LTD - RETURN ON ASSETS,3.13,3.61,3.5,3.27,2.92,3.27,3.5,NA
FRASER & NEAVE LTD - TOTAL DEBT % COMMON EQUITY,30.89,28.28,29.58,32.29,30.48,39.79,41.88,NA
FRASER & NEAVE LTD - TOTAL DEBT % TOTAL CAPITAL/STD,21.56,19.93,20.54,22.03,21.08,25.63,26.2,NA
FRASER & NEAVE LTD - BOOK VALUE-OUT SHARES-FISCAL,1.948,2.024,2.047,2.08,2.112,2.025,1.968,NA
FRASER & NEAVE LTD - PRICE TO BOOK VAL,1.09,0.89,0.66,0.72,0.65,0.54,0.53,0.58
FRASERS PROPERTY LTD - RETURN ON ASSETS,3.38,2.41,0.97,2.9,3.09,0.99,1.41,NA
FRASERS PROPERTY LTD - TOTAL DEBT % COMMON EQUITY,230.42,262.48,282.73,203.84,173.73,183.43,191.23,NA
FRASERS PROPERTY LTD - TOTAL DEBT % TOTAL CAPITAL/STD,57.4,58.04,60.81,53.24,49.78,51.19,51.76,NA
FRASERS PROPERTY LTD - BOOK VALUE-OUT SHARES-FISCAL,2.528,2.536,2.584,2.437,2.635,2.52,2.454,NA
FRASERS PROPERTY LTD - PRICE TO BOOK VAL,0.77,0.73,0.45,0.5,0.42,0.35,0.34,0.31
FRASERS CENTRE - RETURN ON ASSETS,6.68,7.15,4.78,4.37,4.25,4.71,4.37,NA
FRASERS CENTRE - TOTAL DEBT % COMMON EQUITY,42.02,42.08,49.34,46.16,45.66,55.25,48.75,NA
FRASERS CENTRE - TOTAL DEBT % TOTAL CAPITAL/STD,29.59,29.62,33.04,31.58,31.35,35.59,32.77,NA
FRASERS CENTRE - BOOK VALUE-OUT SHARES-FISCAL,2.065,2.192,2.245,2.299,2.321,2.318,2.289,NA
FRASERS CENTRE - PRICE TO BOOK VAL,1.08,1.07,0.85,1.08,1.03,0.99,0.94,0.93
FRASERS HOSPITALITY - RETURN ON ASSETS,3.43,2.87,-3.89,1.19,3.41,4.46,0.99,NA
FRASERS HOSPITALITY - TOTAL DEBT % COMMON EQUITY,64.4,68.99,78.99,79.42,60.98,55.1,58.84,NA
FRASERS HOSPITALITY - TOTAL DEBT % TOTAL CAPITAL/STD,39.17,40.83,44.13,44.27,37.88,35.53,37.04,NA
FRASERS HOSPITALITY - BOOK VALUE-OUT SHARES-FISCAL,0.777,0.724,0.65,0.648,0.647,0.664,0.657,NA
FRASERS HOSPITALITY - PRICE TO BOOK VAL,0.97,1.01,0.73,0.86,0.93,0.72,0.71,0.85
FIRST RESOURCES - RETURN ON ASSETS,8.52,6.41,6.86,9.73,18.37,8.4,14.11,NA
FIRST RESOURCES - TOTAL DEBT % COMMON EQUITY,40.87,39.39,41.52,33.98,22.58,18.24,19.58,NA
FIRST RESOURCES - TOTAL DEBT % TOTAL CAPITAL/STD,27.87,27.18,28.17,24.24,17.45,14.5,15.37,NA
FIRST RESOURCES - BOOK VALUE-OUT SHARES-FISCAL,8467.063,9156.354,9465.398,10813.329,13000.491,12832.845,14338.005,NA
FIRST RESOURCES - PRICE TO BOOK VAL,2.09,2.1,1.43,1.38,1.8,1.44,1.15,1.23
FIRST SPONSOR - RETURN ON ASSETS,5.47,7.29,4.1,3.66,3.78,1.22,3.08,NA
FIRST SPONSOR - TOTAL DEBT % COMMON EQUITY,73.71,59.04,48.84,62.25,60.71,68.47,80.6,NA
FIRST SPONSOR - TOTAL DEBT % TOTAL CAPITAL/STD,42.19,36.63,31.84,36.95,36.33,39.28,43.38,NA
FIRST SPONSOR - BOOK VALUE-OUT SHARES-FISCAL,1.773,1.788,1.83,2.024,1.959,1.779,1.791,NA
FIRST SPONSOR - PRICE TO BOOK VAL,0.72,0.72,0.61,0.7,0.69,0.71,0.63,0.57
GREAT EASTERN HLDGS - RETURN ON ASSETS,0.91,1.13,0.98,1.04,0.73,0.72,0.9,NA
GREAT EASTERN HLDGS - TOTAL DEBT % COMMON EQUITY,5.23,4.83,4.5,0,0,0.61,6.28,NA
GREAT EASTERN HLDGS - TOTAL DEBT % TOTAL CAPITAL/STD,5.05,4.39,4.05,0,0,0.64,6.09,NA
GREAT EASTERN HLDGS - BOOK VALUE-OUT SHARES-FISCAL,16.165,17.477,18.795,20.595,21.429,17.769,19.156,NA
GREAT EASTERN HLDGS - PRICE TO BOOK VAL,1.88,1.53,0.97,1.13,1,1,0.96,1.35
GENTING SINGAPORE - RETURN ON ASSETS,8.07,7.41,0.79,2.11,3.88,6.82,6.3,NA
GENTING SINGAPORE - TOTAL DEBT % COMMON EQUITY,13.35,3.23,3.4,3.14,0.07,0.04,0.04,NA
GENTING SINGAPORE - TOTAL DEBT % TOTAL CAPITAL/STD,11.78,3.13,3.29,3.04,0.07,0.04,0.04,NA
GENTING SINGAPORE - BOOK VALUE-OUT SHARES-FISCAL,0.646,0.668,0.649,0.654,0.663,0.679,0.687,NA
GENTING SINGAPORE - PRICE TO BOOK VAL,1.75,1.44,1.12,1.41,1.22,1.71,1.32,1.01
GOLDEN - RETURN ON ASSETS,0.64,3.94,0.91,6.45,9.61,3.27,5.31,NA
GOLDEN - TOTAL DEBT % COMMON EQUITY,80.05,77.63,80.31,70.41,62.7,65.65,76.65,NA
GOLDEN - TOTAL DEBT % TOTAL CAPITAL/STD,43.64,42.88,43.49,40.23,37.38,38.44,42.1,NA
GOLDEN - BOOK VALUE-OUT SHARES-FISCAL,0.446,0.46,0.442,0.497,0.528,0.513,0.55,NA
GOLDEN - PRICE TO BOOK VAL,0.77,0.68,0.37,0.43,0.58,0.54,0.5,0.44
HO BEE LAND LTD - RETURN ON ASSETS,5.75,6.29,2.73,5.65,3.45,-1.27,3.3,NA
HO BEE LAND LTD - TOTAL DEBT % COMMON EQUITY,75.11,68.45,67.04,64.79,87.46,85.23,71.07,NA
HO BEE LAND LTD - TOTAL DEBT % TOTAL CAPITAL/STD,42.78,40.55,40.02,39.19,46.56,45.91,41.46,NA
HO BEE LAND LTD - BOOK VALUE-OUT SHARES-FISCAL,4.939,5.322,5.458,5.917,5.897,5.415,5.561,NA
HO BEE LAND LTD - PRICE TO BOOK VAL,0.51,0.49,0.38,0.44,0.51,0.42,0.35,0.31
HAW PAR CORPORATION - RETURN ON ASSETS,5.7,5.82,3.88,3.54,4.3,6.03,5.85,NA
HAW PAR CORPORATION - TOTAL DEBT % COMMON EQUITY,0.79,0.28,0.03,0.02,0.82,0.82,0.89,NA
HAW PAR CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,0.79,0.28,0.03,0.02,0.82,0.81,0.88,NA
HAW PAR CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,13.259,14.278,13.044,14.509,16.031,15.702,18.74,NA
HAW PAR CORPORATION - PRICE TO BOOK VAL,1.01,0.95,0.73,0.93,0.72,0.62,0.52,0.65
HOTEL PROPERTIES LTD - RETURN ON ASSETS,4.16,2.25,-4.22,0.66,3.3,16.43,2.36,NA
HOTEL PROPERTIES LTD - TOTAL DEBT % COMMON EQUITY,43.03,63.18,80.95,96.43,112.83,82.68,94.26,NA
HOTEL PROPERTIES LTD - TOTAL DEBT % TOTAL CAPITAL/STD,29.01,37.57,43.53,47.78,50.76,44.31,47.65,NA
HOTEL PROPERTIES LTD - BOOK VALUE-OUT SHARES-FISCAL,3.843,3.824,3.363,3.248,3.161,4.132,4.135,NA
HOTEL PROPERTIES LTD - PRICE TO BOOK VAL,0.98,1,0.85,1.08,1.13,0.87,0.87,0.83
JAPFA LTD - RETURN ON ASSETS,5.75,6.55,12.41,4.99,1.71,2.68,6.19,NA
JAPFA LTD - TOTAL DEBT % COMMON EQUITY,156.23,168.35,82,111.88,177.09,192.63,147.19,NA
JAPFA LTD - TOTAL DEBT % TOTAL CAPITAL/STD,51.86,53.53,37.24,42.65,54.29,55.47,48.08,NA
JAPFA LTD - BOOK VALUE-OUT SHARES-FISCAL,0.567,0.626,0.926,0.943,0.535,0.5,0.577,NA
JAPFA LTD - PRICE TO BOOK VAL,0.81,1.06,0.52,0.96,1.26,0.47,0.46,1.06
KEPPEL DC REIT - RETURN ON ASSETS,7.86,4.62,5.73,9.15,6.53,4.37,7.54,NA
KEPPEL DC REIT - TOTAL DEBT % COMMON EQUITY,48.91,49.29,61.09,56.66,61.1,64.07,50.87,NA
KEPPEL DC REIT - TOTAL DEBT % TOTAL CAPITAL/STD,32.38,32.61,37.47,35.74,37.52,38.61,33.36,NA
KEPPEL DC REIT - BOOK VALUE-OUT SHARES-FISCAL,1.038,1.131,1.177,1.321,1.388,1.327,1.526,NA
KEPPEL DC REIT - PRICE TO BOOK VAL,1.38,1.28,1.97,2.03,1.58,1.53,1.11,1.27
KEPPEL LTD - RETURN ON ASSETS,3.93,3.26,-0.68,3.69,3.22,14.88,4.61,NA
KEPPEL LTD - TOTAL DEBT % COMMON EQUITY,66.93,103.98,117.47,106.55,96.45,111.96,115.99,NA
KEPPEL LTD - TOTAL DEBT % TOTAL CAPITAL/STD,39.45,50.02,53.05,50.77,48.36,52.09,53.08,NA
KEPPEL LTD - BOOK VALUE-OUT SHARES-FISCAL,6.223,6.172,5.903,6.405,6.38,5.849,5.954,NA
KEPPEL LTD - PRICE TO BOOK VAL,1.26,1.08,0.97,0.86,1.04,0.98,1.21,0.99
UOB-KAY HIAN - RETURN ON ASSETS,3.22,3.26,4.95,4.04,3.06,5.23,6.01,NA
UOB-KAY HIAN - TOTAL DEBT % COMMON EQUITY,80.98,75.75,91.66,83.95,78.81,44.7,39.33,NA
UOB-KAY HIAN - TOTAL DEBT % TOTAL CAPITAL/STD,44.43,42.78,47.52,45.35,43.8,30.68,28.06,NA
UOB-KAY HIAN - BOOK VALUE-OUT SHARES-FISCAL,1.799,1.832,1.954,2.018,2.01,2.103,2.264,NA
UOB-KAY HIAN - PRICE TO BOOK VAL,0.79,0.67,0.61,0.85,0.82,0.68,0.61,0.75
KEPPEL REIT - RETURN ON ASSETS,2.7,2.25,0.59,3.49,5.44,2.75,2.23,NA
KEPPEL REIT - TOTAL DEBT % COMMON EQUITY,51.19,49.54,59.52,62.24,61.61,52.76,60.52,NA
KEPPEL REIT - TOTAL DEBT % TOTAL CAPITAL/STD,31.96,31.17,35.25,36.42,36.18,32.64,35.66,NA
KEPPEL REIT - BOOK VALUE-OUT SHARES-FISCAL,1.402,1.362,1.32,1.317,1.368,1.323,1.272,NA
KEPPEL REIT - PRICE TO BOOK VAL,0.88,0.93,0.72,0.93,0.86,0.68,0.7,0.63
MAPLETREE INDUSTRIAL - RETURN ON ASSETS,8.31,7.08,8.38,3.3,6.44,4.62,3.13,NA
MAPLETREE INDUSTRIAL - TOTAL DEBT % COMMON EQUITY,43.82,45.83,41,58.31,65.13,62.73,67.82,NA
MAPLETREE INDUSTRIAL - TOTAL DEBT % TOTAL CAPITAL/STD,30.47,31.43,29.08,36.83,39.44,38.55,40.4,NA
MAPLETREE INDUSTRIAL - BOOK VALUE-OUT SHARES-FISCAL,1.47,1.503,1.612,1.651,1.859,1.852,1.758,NA
MAPLETREE INDUSTRIAL - PRICE TO BOOK VAL,1.35,1.3,1.45,1.5,1.44,1.36,1.32,1.09
MAPLETREE NORTH - RETURN ON ASSETS,9.7,9.82,2.27,-2.39,1.06,NA,NA,NA
MAPLETREE NORTH - TOTAL DEBT % COMMON EQUITY,60.72,62.54,71.43,74.76,84.41,NA,NA,NA
MAPLETREE NORTH - TOTAL DEBT % TOTAL CAPITAL/STD,37.78,38.45,41.62,42.73,45.7,NA,NA,NA
MAPLETREE NORTH - BOOK VALUE-OUT SHARES-FISCAL,1.376,1.445,1.412,1.274,1.231,NA,NA,NA
MAPLETREE NORTH - PRICE TO BOOK VAL,0.82,0.96,0.67,0.85,0.96,0.94,0.94,0.94
AIMS APAC REIT - RETURN ON ASSETS,5.44,4.52,6.53,3.64,5.65,6.17,4.19,NA
AIMS APAC REIT - TOTAL DEBT % COMMON EQUITY,52.53,53.57,65.89,84.27,132.03,127.04,109.63,NA
AIMS APAC REIT - TOTAL DEBT % TOTAL CAPITAL/STD,34.44,34.89,39.72,45.73,56.9,55.96,52.3,NA
AIMS APAC REIT - BOOK VALUE-OUT SHARES-FISCAL,1.372,1.342,1.349,1.36,1.402,1.377,1.309,NA
AIMS APAC REIT - PRICE TO BOOK VAL,1.03,1.05,0.81,0.97,1.01,1.04,0.99,0.92
MAPLETREE LOGI - RETURN ON ASSETS,8.35,7.02,5.39,5.19,6.87,4.97,3.22,NA
MAPLETREE LOGI - TOTAL DEBT % COMMON EQUITY,87.13,80.9,86.79,83.89,79.79,80.14,86.95,NA
MAPLETREE LOGI - TOTAL DEBT % TOTAL CAPITAL/STD,46.52,44.69,46.42,45.59,44.31,44.44,46.44,NA
MAPLETREE LOGI - BOOK VALUE-OUT SHARES-FISCAL,1.102,1.166,1.203,1.325,1.478,1.438,1.379,NA
MAPLETREE LOGI - PRICE TO BOOK VAL,1.1,1.22,1.3,1.32,1.27,1.28,1.06,0.78
MAPLETREE COM - RETURN ON ASSETS,9.46,9.42,7.69,1.42,4.47,5.22,5.18,NA
MAPLETREE COM - TOTAL DEBT % COMMON EQUITY,54.38,50.91,51.98,53.07,51.86,76.28,74.92,NA
MAPLETREE COM - TOTAL DEBT % TOTAL CAPITAL/STD,35.23,33.74,34.2,34.67,34.15,43.24,42.8,NA
MAPLETREE COM - BOOK VALUE-OUT SHARES-FISCAL,1.481,1.591,1.75,1.722,1.743,1.76,1.753,NA
MAPLETREE COM - PRICE TO BOOK VAL,0.99,1.09,0.98,1.23,1.06,1.04,0.76,0.65
NETLINK NBN TRUST - RETURN ON ASSETS,1.59,2.17,2.26,2.52,2.43,3.26,3.48,NA
