Name,2014,2015,2016,2017
LAND AND HOUSES - TOTAL DEBT % COMMON EQUITY,82.12,91.34,93.06,97.86
LAND AND HOUSES - PRICE TO BOOK VAL,2.54,2.4,2.11,2.27
CP AXTRA PCL - RETURN ON ASSETS,12.66,12.23,11.25,11.62
CP AXTRA PCL - TOTAL DEBT % COMMON EQUITY,45.09,50.81,52.59,52.17
CP AXTRA PCL - PRICE TO BOOK VAL,12.58,13.43,10.15,9.84
MEGA LIFESCIENCES - RETURN ON ASSETS,8.59,9.99,10.6,13.78
MEGA LIFESCIENCES - TOTAL DEBT % COMMON EQUITY,14.26,16.58,14.31,9.77
MEGA LIFESCIENCES - PRICE TO BOOK VAL,4.65,3.69,3.03,4.41
MUANGTHAI CAPITAL - RETURN ON ASSETS,10.26,9.22,9.22,9.92
MUANGTHAI CAPITAL - TOTAL DEBT % COMMON EQUITY,68.25,126.58,257.73,303.02
MUANGTHAI CAPITAL - PRICE TO BOOK VAL,NA,7.01,6.3,7.76
THANACHART CAPITAL - RETURN ON ASSETS,0.85,0.89,0.91,0.95
THANACHART CAPITAL - TOTAL DEBT % COMMON EQUITY,347.71,323.75,223.95,215.96
THANACHART CAPITAL - PRICE TO BOOK VAL,0.78,0.75,0.69,0.9
ORIGIN PROP - RETURN ON ASSETS,5.02,15.44,12.86,13.99
ORIGIN PROP - TOTAL DEBT % COMMON EQUITY,360.49,39.54,117.47,177.07
ORIGIN PROP - PRICE TO BOOK VAL,NA,NA,3.46,3.45
OSOTSPA PCL - RETURN ON ASSETS,NA,11.36,16.31,18.55
OSOTSPA PCL - TOTAL DEBT % COMMON EQUITY,19.06,32.72,121.78,186.42
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
AMATA CORPORATION - RETURN ON ASSETS,11.52,6.18,5.44,5.75
AMATA CORPORATION - TOTAL DEBT % COMMON EQUITY,71.77,60.36,56.5,72.5
AMATA CORPORATION - PRICE TO BOOK VAL,1.53,1.58,1.05,1.31
AP THAILAND PCL - RETURN ON ASSETS,8.31,7.98,7.77,8.06
AP THAILAND PCL - TOTAL DEBT % COMMON EQUITY,92.79,83.15,75.89,85.06
AP THAILAND PCL - PRICE TO BOOK VAL,0.91,1.27,0.96,1.12
PLAN B MEDIA PCL - RETURN ON ASSETS,10.75,14.28,9.99,11.77
PLAN B MEDIA PCL - TOTAL DEBT % COMMON EQUITY,167.32,0.1,1.11,0.73
PLAN B MEDIA PCL - PRICE TO BOOK VAL,NA,5.81,6.95,5.93
PRUKSA HOLDING - RETURN ON ASSETS,11.9,12.61,9.39,8.1
PRUKSA HOLDING - TOTAL DEBT % COMMON EQUITY,75.07,58.44,56.19,64.1
PRUKSA HOLDING - PRICE TO BOOK VAL,1.7,1.62,1.52,1.27
PTG ENERGY PCL - RETURN ON ASSETS,8.46,9.54,11.55,7.06
PTG ENERGY PCL - TOTAL DEBT % COMMON EQUITY,28.9,36.1,87.64,158.67
PTG ENERGY PCL - PRICE TO BOOK VAL,1.58,4.51,6.02,6.28
PTT PCL - RETURN ON ASSETS,3.83,1.59,5.3,7.1
PTT PCL - TOTAL DEBT % COMMON EQUITY,68.21,94.57,80.46,64.68
PTT PCL - PRICE TO BOOK VAL,1.25,1.48,1.13,1.37
PTT EXPLORATION - RETURN ON ASSETS,3.39,-3.15,2.34,4.04
PTT EXPLORATION - TOTAL DEBT % COMMON EQUITY,46.91,39.19,37.39,39.4
PTT EXPLORATION - PRICE TO BOOK VAL,1.63,1.21,0.8,1.1
PTT GLOBAL CHE - RETURN ON ASSETS,4.74,6.33,7.54,10.03
PTT GLOBAL CHE - TOTAL DEBT % COMMON EQUITY,49.49,45.79,39.15,35.64
PTT GLOBAL CHE - PRICE TO BOOK VAL,1.3,1.27,1.07,1.19
QUALITY HOUSES PCL - RETURN ON ASSETS,7.9,6.71,6.42,7.2
QUALITY HOUSES PCL - TOTAL DEBT % COMMON EQUITY,131.56,124.37,111.1,94.71
QUALITY HOUSES PCL - PRICE TO BOOK VAL,1.54,1.34,1.08,1.05
RATCH GROUP PCL - RETURN ON ASSETS,7.87,4.22,7.7,7.57
RATCH GROUP PCL - TOTAL DEBT % COMMON EQUITY,36.68,35.65,39.68,34.67
RATCH GROUP PCL - PRICE TO BOOK VAL,1.25,1.45,1.19,1.15
R&B FOOD SUPP - RETURN ON ASSETS,NA,NA,21.18,10.94
R&B FOOD SUPP - TOTAL DEBT % COMMON EQUITY,NA,13.25,5.14,13.59
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
MINOR INTERNATIONAL - RETURN ON ASSETS,8.16,9.79,7.79,6.18
MINOR INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,121.47,138.69,133.23,105.99
MINOR INTERNATIONAL - PRICE TO BOOK VAL,3.49,4.09,4.51,3.56
RATCHTHANI LEASING - RETURN ON ASSETS,5.62,5.44,5.24,5.06
RATCHTHANI LEASING - TOTAL DEBT % COMMON EQUITY,602.57,532.39,552.65,588.23
RATCHTHANI LEASING - PRICE TO BOOK VAL,1.94,1.51,1.76,2.43
SANSIRI - RETURN ON ASSETS,5.91,5.72,5.48,4.15
SANSIRI - TOTAL DEBT % COMMON EQUITY,157.55,123.85,127.39,126.94
SANSIRI - PRICE TO BOOK VAL,0.87,0.98,0.8,0.97
SIAM COMMERCIAL - RETURN ON ASSETS,2.14,1.83,1.79,1.54
SIAM COMMERCIAL - TOTAL DEBT % COMMON EQUITY,89.11,85.92,62.21,51.49
SIAM COMMERCIAL - PRICE TO BOOK VAL,1.95,1.76,1.27,1.42
SIAM CEMENT PCL - RETURN ON ASSETS,9.04,10.91,12.1,11.16
SIAM CEMENT PCL - TOTAL DEBT % COMMON EQUITY,110.59,98.4,80.99,80.16
SIAM CEMENT PCL - PRICE TO BOOK VAL,2.75,3.17,2.4,2.39
SIAM GLOBAL - RETURN ON ASSETS,4.34,4.51,6.4,6.86
SIAM GLOBAL - TOTAL DEBT % COMMON EQUITY,29.96,31.66,48.11,87.14
SIAM GLOBAL - PRICE TO BOOK VAL,2.66,2.06,2.63,4
INTOUCH HOLDINGS PCL - RETURN ON ASSETS,28.9,29,29.94,21.2
INTOUCH HOLDINGS PCL - TOTAL DEBT % COMMON EQUITY,43.18,46,37.44,25.37
INTOUCH HOLDINGS PCL - PRICE TO BOOK VAL,10.04,9.69,6.26,6.1
SUPALAI PUBLIC CO - RETURN ON ASSETS,13.62,10.78,10.41,11.36
SUPALAI PUBLIC CO - TOTAL DEBT % COMMON EQUITY,72.33,101.8,92.45,72.14
SUPALAI PUBLIC CO - PRICE TO BOOK VAL,1.88,1.63,1.52,1.29
SUPER ENERGY - RETURN ON ASSETS,-1.8,-2.14,3.58,5.66
SUPER ENERGY - TOTAL DEBT % COMMON EQUITY,17.84,145.33,246.85,227.33
SUPER ENERGY - PRICE TO BOOK VAL,3.85,5.18,3.94,3.59
STAR PETROL - RETURN ON ASSETS,-8,12.76,14.45,14.95
STAR PETROL - TOTAL DEBT % COMMON EQUITY,0,10.86,15.39,5.59
STAR PETROL - PRICE TO BOOK VAL,NA,NA,1.07,1.39
#ERROR,"$$ER: 4540,NO DATA VALUES FOUND",,,
#ERROR,"$$ER: 4540,NO DATA VALUES FOUND",,,
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
SRI TRANG AGRO-INDUS - RETURN ON ASSETS,3.94,4.16,-0.05,-0.4
SRI TRANG AGRO-INDUS - TOTAL DEBT % COMMON EQUITY,68.2,90.05,159.77,141.03
SRI TRANG AGRO-INDUS - PRICE TO BOOK VAL,0.83,0.74,0.74,0.96
SINO THAI ENG - RETURN ON ASSETS,6.14,6.45,5.84,-2.02
SINO THAI ENG - TOTAL DEBT % COMMON EQUITY,3.13,2.52,7.22,13.28
SINO THAI ENG - PRICE TO BOOK VAL,3.4,3.53,3.17,4.12
SRISAWAD CORP - RETURN ON ASSETS,14.17,14.15,12.87,11.41
SRISAWAD CORP - TOTAL DEBT % COMMON EQUITY,138.99,174.84,212.97,211.2
SRISAWAD CORP - PRICE TO BOOK VAL,3.96,8.83,6.38,5.97
TOTAL ACCESS - RETURN ON ASSETS,11.22,6.45,2.93,3.07
TOTAL ACCESS - TOTAL DEBT % COMMON EQUITY,103.29,176.33,181.12,167.66
TOTAL ACCESS - PRICE TO BOOK VAL,8.83,7.74,2.75,3.32
THAI AIRWAYS INT'L - RETURN ON ASSETS,-3.14,-2.4,1.89,0.96
THAI AIRWAYS INT'L - TOTAL DEBT % COMMON EQUITY,465.49,585.59,499.63,499.41
THAI AIRWAYS INT'L - PRICE TO BOOK VAL,0.68,0.91,1.02,1.19
BTS GROUP HOLDINGS - RETURN ON ASSETS,18.28,4.57,6.63,3.15
BTS GROUP HOLDINGS - TOTAL DEBT % COMMON EQUITY,12.9,10.43,21.9,91.08
BTS GROUP HOLDINGS - PRICE TO BOOK VAL,1.89,2.42,2.5,2.42
TAOKAENOI FOOD - RETURN ON ASSETS,18.14,20.14,26.79,19.45
TAOKAENOI FOOD - TOTAL DEBT % COMMON EQUITY,119.15,21.45,7.16,21.03
TAOKAENOI FOOD - PRICE TO BOOK VAL,NA,NA,8.39,12.62
TTW PCL - RETURN ON ASSETS,14.29,12.34,10.78,12.21
TTW PCL - TOTAL DEBT % COMMON EQUITY,108,126.49,116.05,90.15
TTW PCL - PRICE TO BOOK VAL,3.51,3.92,3.65,3.51
KASIKORNBANK PLC - RETURN ON ASSETS,2.07,1.71,1.6,1.27
KASIKORNBANK PLC - TOTAL DEBT % COMMON EQUITY,63.41,54.95,79.7,40.12
KASIKORNBANK PLC - PRICE TO BOOK VAL,1.78,1.68,1.18,1.28
THAI OIL PCL - RETURN ON ASSETS,-0.03,7.94,11.91,12.39
THAI OIL PCL - TOTAL DEBT % COMMON EQUITY,96.86,81.74,71.41,54.38
THAI OIL PCL - PRICE TO BOOK VAL,1.26,1.16,1.2,1.26
TIPCO ASPHALT PCL - RETURN ON ASSETS,7.93,32.69,17.62,13.52
TIPCO ASPHALT PCL - TOTAL DEBT % COMMON EQUITY,119.36,24.49,21.66,20.09
TIPCO ASPHALT PCL - PRICE TO BOOK VAL,1.29,2.51,3.14,2.81
TISCO FINANCIAL - RETURN ON ASSETS,1.67,1.83,2.25,2.53
TISCO FINANCIAL - TOTAL DEBT % COMMON EQUITY,296.55,300.94,241.88,217.01
TISCO FINANCIAL - PRICE TO BOOK VAL,1.2,1.27,1.08,1.81
TMB BANK PCL - RETURN ON ASSETS,1.37,1.27,1.14,1.2
TMB BANK PCL - TOTAL DEBT % COMMON EQUITY,156.33,87.2,103.65,105.67
TMB BANK PCL - PRICE TO BOOK VAL,1.4,1.43,1.16,1.07
TOA PAINT THAILAN - RETURN ON ASSETS,NA,16.88,23.02,14.99
TOA PAINT THAILAN - TOTAL DEBT % COMMON EQUITY,127.77,86.68,484.91,16.25
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
IRPC PCL - RETURN ON ASSETS,-2.34,6.4,6.79,7.38
IRPC PCL - TOTAL DEBT % COMMON EQUITY,89.62,70.88,77.34,67.16
IRPC PCL - PRICE TO BOOK VAL,1.08,1.14,1.23,1.19
TPI POLENE POWER PCL - RETURN ON ASSETS,3.82,8.7,13.03,11.58
TPI POLENE POWER PCL - TOTAL DEBT % COMMON EQUITY,48.25,18.08,84.79,0
TPI POLENE POWER PCL - PRICE TO BOOK VAL,NA,NA,NA,2.31
TRUE CORP PCL - RETURN ON ASSETS,3.04,2.83,0.51,1.35
TRUE CORP PCL - TOTAL DEBT % COMMON EQUITY,63.95,131.53,90.59,95.45
TRUE CORP PCL - PRICE TO BOOK VAL,2.09,3.96,1.88,1.55
THAI UNION GROUP - RETURN ON ASSETS,5.87,5.85,5.64,5.69
THAI UNION GROUP - TOTAL DEBT % COMMON EQUITY,106.03,85.57,152.44,151.37
THAI UNION GROUP - PRICE TO BOOK VAL,1.86,2.15,2.45,2.21
THAI VEGETABLE OIL - RETURN ON ASSETS,15.94,18.45,25.72,11.75
THAI VEGETABLE OIL - TOTAL DEBT % COMMON EQUITY,29.94,0,0,14.68
THAI VEGETABLE OIL - PRICE TO BOOK VAL,2.51,2.42,2.79,3.06
VGI PC - RETURN ON ASSETS,43.28,28.5,30.28,12.64
VGI PC - TOTAL DEBT % COMMON EQUITY,0,28.98,10.7,159.3
VGI PC - PRICE TO BOOK VAL,21.2,13.59,16.57,8.3
WHA CORPORATION - RETURN ON ASSETS,9.03,8.74,6.29,6.46
WHA CORPORATION - TOTAL DEBT % COMMON EQUITY,201.16,255.3,195.97,136.27
WHA - PRICE TO BOOK VAL,5.65,2.81,2.07,1.71
WHA UTILITIES AND - RETURN ON ASSETS,11.89,9.24,5.01,12.17
WHA UTILITIES AND - TOTAL DEBT % COMMON EQUITY,107.25,136.24,140.46,63.05
#ERROR,"$$ER: 2376,NO DATA AVAILABLE",,,
AEM HOLDINGS LTD - RETURN ON ASSETS,-56.08,16.63,11.11,38.19
AEM HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,NA,0.66,0.28,0.01
AEM HOLDINGS LTD - PRICE TO BOOK VAL,1.9,0.74,0.71,2.95
CAPITALAND ASCENDAS - RETURN ON ASSETS,7.61,6.04,4.77,5.3
CAPITALAND ASCENDAS - TOTAL DEBT % COMMON EQUITY,44.9,54.41,72.42,61.43
CAPITALAND ASCENDAS - PRICE TO BOOK VAL,1.14,1.22,1.12,1.21
CAPITALAND - RETURN ON ASSETS,5.52,6.61,9.28,11.07
CAPITALAND - TOTAL DEBT % COMMON EQUITY,41.39,50.28,56.8,60.07
CAPITALAND - PRICE TO BOOK VAL,1.15,1.29,1.18,1.23
THOMSON MEDICAL - RETURN ON ASSETS,8.02,-4.9,-9.1,-8.78
THOMSON MEDICAL - TOTAL DEBT % COMMON EQUITY,0,27.32,28.89,33.62
THOMSON MEDICAL - PRICE TO BOOK VAL,2.34,1.83,1.56,1.13
BUKIT SEMBAWANG - RETURN ON ASSETS,8.62,6.81,6.48,5.1
BUKIT SEMBAWANG - TOTAL DEBT % COMMON EQUITY,0,0,0,0
BUKIT SEMBAWANG - PRICE TO BOOK VAL,1.22,1.03,0.88,1.27
BUMITAMA AGRI LTD - RETURN ON ASSETS,9.76,6.91,7.85,8.88
BUMITAMA AGRI LTD - TOTAL DEBT % COMMON EQUITY,66.02,79.74,72.46,63.75
BUMITAMA AGRI LTD - PRICE TO BOOK VAL,3.15,2.47,1.86,1.84
ESR-REIT - RETURN ON ASSETS,4.76,5.32,2.02,1.37
ESR-REIT - TOTAL DEBT % COMMON EQUITY,54.88,60.17,61.62,105.39
ESR-REIT - PRICE TO BOOK VAL,1.12,1.06,0.85,0.98
CAPITALAND IN - RETURN ON ASSETS,7.64,6.74,5.54,7.29
CAPITALAND IN - TOTAL DEBT % COMMON EQUITY,50.45,49.49,49.14,45.95
CAPITALAND IN - PRICE TO BOOK VAL,1.12,1.17,1.09,1
CDL HOSPITALITY - RETURN ON ASSETS,5.85,3.2,2.84,5.54
CDL HOSPITALITY - TOTAL DEBT % COMMON EQUITY,47.95,58.62,60.06,50.55
CDL HOSPITALITY - PRICE TO BOOK VAL,1.06,1.06,0.89,1.01
CHINA AVIATION OIL - RETURN ON ASSETS,3.28,5.7,7.89,5.29
CHINA AVIATION OIL - TOTAL DEBT % COMMON EQUITY,0,0,15.39,16.58
CHINA AVIATION OIL - PRICE TO BOOK VAL,0.98,0.86,0.9,1.51
KEPPEL INFRASTRUCTUR - RETURN ON ASSETS,0.33,4.14,3.08,3.38
KEPPEL INFRASTRUCTUR - TOTAL DEBT % COMMON EQUITY,369.85,142.24,164.94,178.18
KEPPEL INFRASTRUCTUR - PRICE TO BOOK VAL,1.32,1.63,1.54,1.82
CITY DEVELOPMENTS - RETURN ON ASSETS,4.68,4.82,3.71,3.22
CITY DEVELOPMENTS - TOTAL DEBT % COMMON EQUITY,84.62,76.5,65.55,55.61
CITY DEVELOPMENTS - PRICE TO BOOK VAL,1.16,1.08,0.83,1.02
COMFORTDELGRO CORP - RETURN ON ASSETS,5.85,6.09,6.39,6.31
COMFORTDELGRO CORP - TOTAL DEBT % COMMON EQUITY,33.66,23.92,13.94,12.31
COMFORTDELGRO CORP - PRICE TO BOOK VAL,2.33,2.73,2.4,2
COSCO SHI - RETURN ON ASSETS,1.63,-4.07,-2.45,5.17
COSCO SHI - TOTAL DEBT % COMMON EQUITY,363.57,794.71,2176.82,0
COSCO SHI - PRICE TO BOOK VAL,1.17,1.5,2.2,1.17
CAPITALAND CHINA - RETURN ON ASSETS,7.04,5.21,4.53,5.9
CAPITALAND CHINA - TOTAL DEBT % COMMON EQUITY,49.77,47.36,68.29,48.26
CAPITALAND CHINA - PRICE TO BOOK VAL,0.9,0.98,0.89,1
CSE GLOBAL LTD - RETURN ON ASSETS,9.09,9.85,6.32,-14.57
CSE GLOBAL LTD - TOTAL DEBT % COMMON EQUITY,20.46,23.02,8.2,18.06
CSE GLOBAL LTD - PRICE TO BOOK VAL,1.35,1.23,0.92,1.42
JARDINE CYCLE - RETURN ON ASSETS,4.31,3.65,3.52,3.71
JARDINE CYCLE - TOTAL DEBT % COMMON EQUITY,123.23,97.82,92.28,106.71
JARDINE CYCLE - PRICE TO BOOK VAL,2.6,2.1,1.53,2.1
CAPITALAND LIMITED - RETURN ON ASSETS,3.26,3,3.17,3.59
CAPITALAND LIMITED - TOTAL DEBT % COMMON EQUITY,97.01,89.98,84.5,118.39
CAPITALAND LIMITED - PRICE TO BOOK VAL,0.79,0.86,0.72,0.82
DBS GROUP HOLDINGS - RETURN ON ASSETS,1.07,1.11,1.03,1.03
DBS GROUP HOLDINGS - TOTAL DEBT % COMMON EQUITY,146.47,154.55,113.5,134.66
DBS GROUP HOLDINGS - PRICE TO BOOK VAL,1.13,1.32,0.9,1.16
WILMAR INTERNATIONAL - RETURN ON ASSETS,3.45,3.51,3.35,4.04
WILMAR INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,144.32,115.19,117.91,124.2
WILMAR INTERNATIONAL - PRICE TO BOOK VAL,1,0.96,0.99,1.09
GUOCOLAND LTD - RETURN ON ASSETS,4.17,3.01,7.52,5.02
GUOCOLAND LTD - TOTAL DEBT % COMMON EQUITY,200.95,186.63,116.91,123.08
GUOCOLAND LTD - PRICE TO BOOK VAL,0.91,0.77,0.61,0.57
FAR EAST - RETURN ON ASSETS,3.5,2.12,1.99,1.38
FAR EAST - TOTAL DEBT % COMMON EQUITY,46.12,48.52,50,49.29
FAR EAST - PRICE TO BOOK VAL,0.91,0.85,0.66,0.7
FRASER & NEAVE LTD - RETURN ON ASSETS,1.86,22.07,3.27,30.05
FRASER & NEAVE LTD - TOTAL DEBT % COMMON EQUITY,8.83,4.43,4.82,46.23
FRASER & NEAVE LTD - PRICE TO BOOK VAL,2.78,1.78,1.02,1.21
FRASERS PROPERTY LTD - RETURN ON ASSETS,3.91,4,2.96,3.17
FRASERS PROPERTY LTD - TOTAL DEBT % COMMON EQUITY,129.89,177.72,167.95,186.25
FRASERS PROPERTY LTD - PRICE TO BOOK VAL,0.86,0.82,0.71,0.77
FRASERS CENTRE - RETURN ON ASSETS,7.88,7.53,5.47,7.91
FRASERS CENTRE - TOTAL DEBT % COMMON EQUITY,43.5,40.92,41.34,42.6
FRASERS CENTRE - PRICE TO BOOK VAL,0.99,1.09,1.03,1
FRASERS HOSPITALITY - RETURN ON ASSETS,NA,NA,3.7,7.36
FRASERS HOSPITALITY - TOTAL DEBT % COMMON EQUITY,NA,66.96,79.58,60.51
FRASERS HOSPITALITY - PRICE TO BOOK VAL,NA,1.02,0.9,0.86
FIRST RESOURCES - RETURN ON ASSETS,9.68,6.65,7.91,9.14
FIRST RESOURCES - TOTAL DEBT % COMMON EQUITY,54.85,49.73,50.82,51.06
FIRST RESOURCES - PRICE TO BOOK VAL,2.83,2.26,1.99,2.38
FIRST SPONSOR - RETURN ON ASSETS,2.05,4.6,6.78,4.93
FIRST SPONSOR - TOTAL DEBT % COMMON EQUITY,9.28,48.95,34.81,56.47
FIRST SPONSOR - PRICE TO BOOK VAL,NA,0.77,0.69,0.74
GREAT EASTERN HLDGS - RETURN ON ASSETS,1.42,1.22,0.89,1.51
GREAT EASTERN HLDGS - TOTAL DEBT % COMMON EQUITY,7.71,6.48,6.13,5.37
GREAT EASTERN HLDGS - PRICE TO BOOK VAL,1.7,1.86,1.52,1.41
GENTING SINGAPORE - RETURN ON ASSETS,4.93,1.27,3.23,6.57
GENTING SINGAPORE - TOTAL DEBT % COMMON EQUITY,54.25,53.83,48.08,16.34
GENTING SINGAPORE - PRICE TO BOOK VAL,2.19,1.53,1.21,1.86
GOLDEN - RETURN ON ASSETS,1.38,0.77,4.54,2.1
GOLDEN - TOTAL DEBT % COMMON EQUITY,37.95,39.39,82.15,80.93
GOLDEN - PRICE TO BOOK VAL,0.63,0.44,0.78,0.9
HO BEE LAND LTD - RETURN ON ASSETS,10.01,6.43,5.48,6.06
HO BEE LAND LTD - TOTAL DEBT % COMMON EQUITY,35.18,55.98,46,43.31
HO BEE LAND LTD - PRICE TO BOOK VAL,0.56,0.53,0.5,0.49
HAW PAR CORPORATION - RETURN ON ASSETS,4.3,6.49,4.71,4.16
HAW PAR CORPORATION - TOTAL DEBT % COMMON EQUITY,2.01,1.72,1.85,1.39
HAW PAR CORPORATION - PRICE TO BOOK VAL,0.68,0.8,0.77,0.71
HOTEL PROPERTIES LTD - RETURN ON ASSETS,4.81,3.3,3.96,5.82
HOTEL PROPERTIES LTD - TOTAL DEBT % COMMON EQUITY,75.52,71.17,63.61,59.7
HOTEL PROPERTIES LTD - PRICE TO BOOK VAL,1.23,1.24,0.99,1.06
JAPFA LTD - RETURN ON ASSETS,4.47,5.45,6.77,1.38
JAPFA LTD - TOTAL DEBT % COMMON EQUITY,149.95,125.32,135.09,136.14
JAPFA LTD - PRICE TO BOOK VAL,NA,0.78,1.39,1
KEPPEL DC REIT - RETURN ON ASSETS,NA,9.95,4.45,4.69
KEPPEL DC REIT - TOTAL DEBT % COMMON EQUITY,42.27,49.18,43.85,53.16
KEPPEL DC REIT - PRICE TO BOOK VAL,NA,1.15,1.11,1.3
KEPPEL LTD - RETURN ON ASSETS,6.47,5.41,NA,1.42
KEPPEL LTD - TOTAL DEBT % COMMON EQUITY,71.12,74.43,77.65,68.16
KEPPEL LTD - PRICE TO BOOK VAL,1.85,1.42,0.83,1.03
UOB-KAY HIAN - RETURN ON ASSETS,4.06,4.09,3.2,3.35
UOB-KAY HIAN - TOTAL DEBT % COMMON EQUITY,63.14,86.09,46.44,59.63
UOB-KAY HIAN - PRICE TO BOOK VAL,0.99,0.88,0.77,0.77
KEPPEL REIT - RETURN ON ASSETS,6.09,5.41,4.17,3.02
KEPPEL REIT - TOTAL DEBT % COMMON EQUITY,59.8,57.05,55.44,56.09
KEPPEL REIT - PRICE TO BOOK VAL,0.89,0.83,0.71,0.76
MAPLETREE INDUSTRIAL - RETURN ON ASSETS,10.71,11.65,8.45,8.01
MAPLETREE INDUSTRIAL - TOTAL DEBT % COMMON EQUITY,55.58,46.48,41.42,43.68
MAPLETREE INDUSTRIAL - PRICE TO BOOK VAL,1.12,1.16,1.15,1.22
MAPLETREE NORTH - RETURN ON ASSETS,NA,6.72,8.1,6.71
MAPLETREE NORTH - TOTAL DEBT % COMMON EQUITY,65.25,60.85,70.91,70.3
MAPLETREE NORTH - PRICE TO BOOK VAL,0.75,0.88,0.75,0.77
AIMS APAC REIT - RETURN ON ASSETS,7.94,9.1,3.43,2.19
AIMS APAC REIT - TOTAL DEBT % COMMON EQUITY,48.48,47.21,50.12,59.37
AIMS APAC REIT - PRICE TO BOOK VAL,0.93,1.01,0.99,1.02
MAPLETREE LOGI - RETURN ON ASSETS,7.8,6.23,4.89,4.51
MAPLETREE LOGI - TOTAL DEBT % COMMON EQUITY,75.55,77.84,95.01,107.41
MAPLETREE LOGI - PRICE TO BOOK VAL,1.15,1.18,0.95,1.04
MAPLETREE COM - RETURN ON ASSETS,9.22,8.11,7.78,7.21
MAPLETREE COM - TOTAL DEBT % COMMON EQUITY,65.45,59.09,56.13,58.87
MAPLETREE COM - PRICE TO BOOK VAL,1.07,1.19,1.03,1.05
NETLINK NBN TRUST - RETURN ON ASSETS,NA,NA,2.41,3.72
NETLINK NBN TRUST - TOTAL DEBT % COMMON EQUITY,NA,546.23,592.31,606.7
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
NOBLE GROUP LIMITED - RETURN ON ASSETS,1.76,-7.81,1.48,-56.57
NOBLE GROUP LIMITED - TOTAL DEBT % COMMON EQUITY,93.75,216.68,124.15,-330.91
NOBLE GROUP LIMITED - PRICE TO BOOK VAL,1.42,1.33,0.59,-0.52
OVERSEA-CHINESE - RETURN ON ASSETS,1.13,1.08,0.97,1.07
OVERSEA-CHINESE - TOTAL DEBT % COMMON EQUITY,167.24,109.76,88.92,108.39
OVERSEA-CHINESE - PRICE TO BOOK VAL,1.26,1.29,1,1.16
OUE REAL ESTATE - RETURN ON ASSETS,NA,3.94,2.8,4.88
OUE REAL ESTATE - TOTAL DEBT % COMMON EQUITY,66.08,148.67,152.02,115.42
OUE REAL ESTATE - PRICE TO BOOK VAL,0.72,0.76,0.71,0.77
OLAM INTERNATION - RETURN ON ASSETS,6.63,0.76,3.07,4.48
OLAM INTERNATION - TOTAL DEBT % COMMON EQUITY,241.68,256.74,326.8,234.05
OLAM INTERNATION - PRICE TO BOOK VAL,1.37,1.13,1.04,1.15
OUE LTD - RETURN ON ASSETS,17.65,3.26,2.77,2.08
OUE LTD - TOTAL DEBT % COMMON EQUITY,53.61,74.41,72.37,86.48
OUE LTD - PRICE TO BOOK VAL,0.55,0.5,0.35,0.43
OXLEY HOLDINGS LTD - RETURN ON ASSETS,10.28,2.47,5.58,5.35
OXLEY HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,558.02,516.58,335.63,235.35
OXLEY HOLDINGS LTD - PRICE TO BOOK VAL,5.57,3.1,1.61,1.53
DELFI LTD - RETURN ON ASSETS,10.68,-0.12,7.65,6.85
DELFI LTD - TOTAL DEBT % COMMON EQUITY,24.9,30.84,26.73,24.92
DELFI LTD - PRICE TO BOOK VAL,6.03,6.48,5.17,4.73
PARKWAY LIFE REAL - RETURN ON ASSETS,7.98,4.44,5.83,6.16
PARKWAY LIFE REAL - TOTAL DEBT % COMMON EQUITY,56.43,57.39,60.6,60.29
PARKWAY LIFE REAL - PRICE TO BOOK VAL,1.4,1.39,1.43,1.46
STARHILL GLOBAL REIT - RETURN ON ASSETS,NA,NA,6.32,4.32
STARHILL GLOBAL REIT - TOTAL DEBT % COMMON EQUITY,NA,56.95,55.66,56.45
STARHILL GLOBAL REIT - PRICE TO BOOK VAL,0.89,0.96,0.83,0.81
RAFFLES MEDICAL - RETURN ON ASSETS,11.02,9.44,8.21,7.45
RAFFLES MEDICAL - TOTAL DEBT % COMMON EQUITY,1.19,5.35,4.56,10.79
RAFFLES MEDICAL - PRICE TO BOOK VAL,3.76,3.99,4.13,3.35
RIVERSTONE HLDGS - RETURN ON ASSETS,17.59,24.98,19.92,17.69
RIVERSTONE HLDGS - TOTAL DEBT % COMMON EQUITY,0,0,0,3.95
RIVERSTONE HLDGS - PRICE TO BOOK VAL,2.22,3.23,3.73,3.67
SINGAPORE AIRLINES - RETURN ON ASSETS,1.74,1.77,3.55,1.64
SINGAPORE AIRLINES - TOTAL DEBT % COMMON EQUITY,7.29,13.96,10.56,11.98
SINGAPORE AIRLINES - PRICE TO BOOK VAL,0.96,1.06,0.96,0.83
#ERROR,"$$ER: 4540,NO DATA VALUES FOUND",,,
SASSEUR REAL - TOTAL DEBT % COMMON EQUITY,NA,NA,57.19,NA
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
